iter	Passed	Remaining
0	43	43130
1	83	41568
2	122	40570
3	161	40255
4	204	40600
5	241	39980
6	278	39540
7	316	39260
8	360	39687
9	399	39583
10	436	39266
11	482	39689
12	523	39777
13	564	39740
14	603	39604
15	645	39707
16	683	39511
17	716	39095
18	768	39665
19	807	39554
20	849	39583
21	884	39341
22	925	39306
23	968	39387
24	1008	39332
25	1050	39340
26	1089	39246
27	1261	43778
28	1359	45533
29	1458	47144
30	1533	47943
31	1591	48155
32	1648	48314
33	1722	48933
34	1803	49734
35	1859	49795
36	1919	49951
37	1965	49762
38	2018	49747
39	2062	49499
40	2100	49125
41	2136	48739
42	2180	48517
43	2219	48224
44	2262	48019
45	2309	47905
46	2388	48426
47	2480	49191
48	2574	49974
49	2655	50459
50	2717	50569
51	2795	50968
52	2860	51117
53	2910	50991
54	2957	50815
55	2995	50489
56	3039	50280
57	3082	50062
58	3138	50056
59	3205	50218
60	3269	50331
61	3324	50302
62	3377	50232
63	3449	50448
64	3504	50410
65	3565	50453
66	3619	50401
67	3666	50249
68	3709	50050
69	3759	49948
70	3798	49697
71	3836	49452
72	3886	49355
73	3942	49331
74	4004	49389
75	4065	49425
76	4128	49488
77	4191	49543
78	4246	49508
79	4289	49326
80	4326	49091
81	4365	48876
82	4405	48673
83	4450	48533
84	4493	48366
85	4530	48153
86	4569	47950
87	4614	47817
88	4661	47713
89	4712	47645
90	4772	47668
91	4825	47620
92	4880	47597
93	4937	47585
94	5001	47650
95	5055	47603
96	5122	47690
97	5191	47783
98	5258	47861
99	5323	47908
100	5383	47919
101	5439	47889
102	5495	47863
103	5543	47762
104	5595	47693
105	5639	47565
106	5712	47675
107	5760	47579
108	5799	47406
109	5841	47264
110	5882	47109
111	5924	46970
112	5966	46837
113	6010	46709
114	6067	46692
115	6118	46624
116	6174	46596
117	6233	46590
118	6281	46502
119	6335	46462
120	6378	46338
121	6470	46567
122	6571	46853
123	6660	47055
124	6736	47157
125	6846	47489
126	6903	47453
127	7017	47808
128	7121	48082
129	7223	48340
130	7276	48271
131	7371	48475
132	7424	48397
133	7468	48267
134	7510	48120
135	7550	47966
136	7601	47885
137	7646	47765
138	7695	47670
139	7736	47522
140	7792	47471
141	7838	47363
142	7883	47247
143	7923	47102
144	7968	46988
145	8004	46818
146	8039	46649
147	8093	46593
148	8145	46520
149	8195	46440
150	8233	46293
151	8286	46229
152	8326	46095
153	8368	45975
154	8412	45859
155	8457	45759
156	8497	45629
157	8546	45545
158	8590	45436
159	8629	45304
160	8677	45217
161	8726	45140
162	8774	45055
163	8826	44992
164	8876	44920
165	8916	44799
166	8963	44711
167	9008	44612
168	9049	44495
169	9086	44361
170	9125	44238
171	9165	44120
172	9211	44034
173	9254	43932
174	9293	43810
175	9334	43701
176	9376	43598
177	9435	43571
178	9496	43554
179	9551	43513
180	9606	43469
181	9673	43479
182	9714	43371
183	9756	43266
184	9797	43160
185	9852	43117
186	9904	43060
187	9941	42938
188	9995	42888
189	10044	42822
190	10098	42775
191	10151	42722
192	10196	42635
193	10244	42563
194	10313	42574
195	10366	42525
196	10467	42666
197	10553	42746
198	10620	42746
199	10687	42748
200	10759	42769
201	10812	42713
202	10858	42632
203	10903	42543
204	10944	42444
205	10998	42392
206	11060	42372
207	11105	42284
208	11146	42186
209	11190	42096
210	11242	42041
211	11311	42043
212	11376	42036
213	11440	42019
214	11483	41929
215	11521	41818
216	11572	41757
217	11664	41842
218	11736	41853
219	11899	42189
220	11975	42212
221	12048	42223
222	12122	42238
223	12180	42196
224	12265	42246
225	12349	42293
226	12465	42447
227	12514	42373
228	12555	42270
229	12591	42152
230	12639	42076
231	12677	41967
232	12715	41856
233	12756	41757
234	12792	41644
235	12827	41526
236	12867	41425
237	12907	41327
238	12945	41218
239	13002	41175
240	13041	41072
241	13083	40981
242	13129	40900
243	13169	40802
244	13207	40700
245	13242	40589
246	13286	40504
247	13324	40403
248	13369	40324
249	13407	40222
250	13449	40133
251	13507	40094
252	13656	40320
253	13819	40587
254	13899	40608
255	13964	40585
256	14024	40545
257	14072	40473
258	14112	40375
259	14151	40278
260	14191	40181
261	14232	40090
262	14268	39983
263	14312	39900
264	14356	39819
265	14410	39764
266	14457	39690
267	14501	39608
268	14554	39550
269	14607	39494
270	14646	39400
271	14692	39323
272	14739	39251
273	14794	39199
274	14851	39154
275	14901	39089
276	14943	39005
277	14990	38931
278	15058	38915
279	15108	38849
280	15146	38754
281	15189	38673
282	15232	38591
283	15279	38521
284	15338	38481
285	15400	38447
286	15462	38413
287	15534	38405
288	15579	38329
289	15625	38256
290	15681	38205
291	15749	38188
292	15806	38140
293	15863	38094
294	15936	38085
295	16022	38108
296	16072	38043
297	16129	37996
298	16199	37979
299	16243	37901
300	16293	37837
301	16339	37763
302	16380	37679
303	16423	37601
304	16463	37516
305	16512	37449
306	16554	37368
307	16603	37303
308	16641	37215
309	16687	37143
310	16736	37079
311	16779	37000
312	16826	36931
313	16861	36837
314	16906	36764
315	16956	36703
316	17003	36634
317	17044	36554
318	17084	36471
319	17140	36423
320	17192	36365
321	17234	36289
322	17276	36210
323	17318	36134
324	17363	36063
325	17408	35992
326	17452	35918
327	17492	35839
328	17532	35758
329	17583	35699
330	17637	35648
331	17678	35570
332	17722	35499
333	17762	35417
334	17808	35350
335	17855	35285
336	17898	35211
337	17934	35125
338	17972	35043
339	18017	34975
340	18066	34914
341	18109	34841
342	18148	34762
343	18205	34716
344	18252	34654
345	18301	34593
346	18338	34509
347	18379	34434
348	18420	34360
349	18459	34281
350	18509	34224
351	18555	34158
352	18598	34089
353	18639	34014
354	18682	33944
355	18730	33882
356	18767	33801
357	18809	33730
358	18846	33651
359	18888	33578
360	18936	33519
361	18980	33450
362	19024	33384
363	19063	33308
364	19108	33242
365	19161	33192
366	19212	33137
367	19260	33077
368	19305	33012
369	19361	32966
370	19407	32903
371	19446	32829
372	19483	32751
373	19527	32684
374	19576	32626
375	19627	32573
376	19671	32508
377	19718	32446
378	19759	32376
379	19805	32314
380	19854	32256
381	19898	32191
382	19937	32118
383	19975	32044
384	20025	31987
385	20074	31931
386	20118	31866
387	20156	31793
388	20201	31729
389	20255	31681
390	20308	31631
391	20350	31563
392	20388	31491
393	20424	31414
394	20462	31341
395	20515	31290
396	20558	31225
397	20601	31160
398	20642	31093
399	20682	31024
400	20732	30970
401	20775	30904
402	20817	30838
403	20854	30765
404	20900	30705
405	20946	30646
406	20987	30579
407	21025	30507
408	21063	30437
409	21142	30425
410	21308	30536
411	21481	30657
412	21579	30670
413	21654	30650
414	21747	30655
415	21810	30617
416	21873	30581
417	21987	30614
418	22133	30691
419	22207	30667
420	22276	30636
421	22326	30579
422	22376	30523
423	22436	30479
424	22525	30475
425	22576	30419
426	22634	30374
427	22712	30354
428	22772	30309
429	22830	30263
430	22885	30212
431	22968	30199
432	23034	30163
433	23083	30104
434	23147	30064
435	23212	30027
436	23281	29994
437	23338	29945
438	23393	29894
439	23458	29856
440	23552	29854
441	23620	29819
442	23797	29921
443	23896	29924
444	23985	29915
445	24121	29962
446	24223	29967
447	24306	29949
448	24422	29971
449	24462	29898
450	24515	29842
451	24559	29775
452	24604	29710
453	24657	29653
454	24701	29587
455	24744	29519
456	24779	29442
457	24824	29378
458	24865	29307
459	24925	29260
460	24964	29188
461	25018	29134
462	25057	29062
463	25107	29003
464	25153	28940
465	25193	28870
466	25235	28801
467	25274	28730
468	25318	28666
469	25371	28610
470	25413	28542
471	25455	28476
472	25507	28420
473	25555	28359
474	25611	28306
475	25656	28243
476	25701	28180
477	25738	28108
478	25783	28043
479	25836	27989
480	25873	27917
481	25917	27853
482	25958	27785
483	25998	27717
484	26047	27659
485	26091	27595
486	26132	27527
487	26174	27461
488	26223	27403
489	26267	27339
490	26315	27280
491	26355	27213
492	26397	27147
493	26436	27079
494	26500	27035
495	26539	26967
496	26581	26902
497	26626	26840
498	26690	26797
499	26729	26729
500	26767	26660
501	26810	26597
502	26846	26526
503	26891	26464
504	26963	26429
505	27059	26417
506	27110	26362
507	27169	26314
508	27220	26258
509	27269	26200
510	27319	26142
511	27377	26093
512	27428	26038
513	27482	25985
514	27524	25921
515	27575	25865
516	27617	25801
517	27661	25739
518	27718	25688
519	27769	25633
520	27818	25576
